Comment,Designator,Footprint,LCSC
1k,"R3,R6,R7",R_0402_1005Metric,C11702
SMF9.0CA,D_PWR1,D_SOD-123,C123799
100k,UR1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504
100nF,"C11,C12,C13,C14,C15,C16,C17,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C8,C9",C_0402_1005Metric,C1525
10uF,C6,C_0402_1005Metric,C15525
22pF,"C1,C2",C_0402_1005Metric,C1555
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-HandSoldering,C165948
4.7k,"UR2,UR3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673
RP2040,U1,RP2040-QFN-56,C2040
27R,"R1,R2",R_0603_1608Metric,C25190
5k1,"R4,R5",R_0402_1005Metric,C25905
USBLC6-2SC6,U4,SOT-23-6,C2827654
SW_Push,"SW27,SW38",SW_SPST_TL3342,C318884
2.2uF,C18,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49217
YS-SK6812MINI-E,"LED1,LED2,LED3",SK6812-MINI-E,C5149201
1uF,"C10,C4,C5,C7",C_0402_1005Metric,C52923
XC6206PxxxMR,U3,SOT-23,C5446
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D6,D7,D8,D9",D_SOD-123F,C64898
500mA,F1,Fuse_1206_3216Metric,C70076
74AHCT1G125,U5,TSOT-23-5,C7468
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
WS2812_2020,"LED10,LED11,LED12,LED13,LED14,LED15,LED4,LED5,LED6,LED7,LED8,LED9",LED_WS2812_2020,C965555
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
